"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",73.35,0.09,35.58,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,11.18,0,10.53,0,0,4.02,0
"2",0.09,42.98,0,5.56,0.03,0.67,0.96,0,5.29,0.04,0.24,0.01,7.01,0.24,0.03,0.01,0.25,0,0,18.75,0.22,0.21,1.47,0,0,0,2.97,20.97,0,0.1
"3",35.58,0,58.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,13.41,0,11.93,0,0,3.48,0
"4",3.87,5.56,0,63.66,0,0.54,0,0,0,0,1.66,0,2.98,0,0,0,0,0,0,0.16,2.2,0,0,0,0,0,0,5.01,0,2.15
"5",0,0.03,0,0,82.26,1.47,0,0,0,0,0,0,0,0.61,21.04,0,0,0,0,0,0,0.55,2.27,0,0,0,0,0,0,0
"6",0,0.67,0,0.54,1.47,61.46,0,0,0,0,0,0,0.05,0,0.89,0,0,1.25,0,0,0.61,0,18.46,0,0,0,0,1.9,0,0
"7",0,0.96,0,0,0,0,54.98,0,0,0,0,4.07,0,0,0,13.01,0,0,0,0.44,0,0,0,0,0,0,0,0,3.06,0
"8",0,0,0,0,0,0,0,64.92,0,0.76,0,0,0,0,0.65,0,0,1.41,27.73,0,0,0,0,0,9.08,0,0.05,0,0,0
"9",0,5.29,0,0,0,0,0,0,50.6,0,0,0,0.63,10.17,0,0,0,0,0,15.58,0,8.95,0.03,0,0,0,2.21,1.62,0,0
"10",0,0.04,0,0,0,0,0,0.76,0,58.63,0,0,0,0,0,0,0,1.33,0.86,0,0,0,0,0,0,0,0,0,0,0
"11",0,0.24,0,1.66,0,0,0,0,0,0,63.3,0.02,6.85,0,0,0,23.84,0,0,0.27,0,0,0,0,0,0,0,0,0,32.86
"12",0,0.01,0,0,0,0,4.07,0,0,0,0.02,58.62,0,0,0,0,0.13,0,0,0.13,0,0,0,0,0,0.67,0,0,0.12,0.43
"13",0,7.01,0,2.98,0,0.05,0,0,0.63,0,6.85,0,57.74,0,0,0,1.78,0,0,1.28,0,0,0,0,0,0,0,6.52,0,3.06
"14",0,0.24,0,0,0.61,0,0,0,10.17,0,0,0,0,49.9,0.02,0,0,0,0,0.37,0,29.96,0.06,0,0,0,1.89,0.08,0,0
"15",0,0.03,0,0,21.04,0.89,0,0.65,0,0,0,0,0,0.02,46.11,0,0,0,0.56,0,0,0.61,1.36,0,6.91,0,0,0.07,0,0
"16",0,0.01,0,0,0,0,13.01,0,0,0,0,0,0,0,0,82.05,0,1.43,0,0.04,0,0,0,0,0,0,0,0,3.38,0
"17",0,0.25,0,0,0,0,0,0,0,0,23.84,0.13,1.78,0,0,0,70.11,0,0,1.02,0,0,0,0,0,0,0,0,0,4.96
"18",0,0,0,0,0,1.25,0,1.41,0,1.33,0,0,0,0,0,1.43,0,26.91,1.09,0,2.61,0,0.15,0.85,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,27.73,0,0.86,0,0,0,0,0.56,0,0,1.09,81.08,0,0,0,0,0,6.11,0,0,0,0,0
"20",0,18.75,0,0.16,0,0,0.44,0,15.58,0,0.27,0.13,1.28,0.37,0,0.04,1.02,0,0,40.83,0,0.31,0,0,0,0,5.68,3.01,0,0
"21",0.99,0.22,0.33,2.2,0,0.61,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,61.66,0,0,3.98,0,0,0,0.15,0,0
"22",0,0.21,0,0,0.55,0,0,0,8.95,0,0,0,0,29.96,0.61,0,0,0,0,0.31,0,76.05,0,0,0,0,3.18,0,0,0
"23",0,1.47,0,0,2.27,18.46,0,0,0.03,0,0,0,0,0.06,1.36,0,0,0.15,0,0,0,0,50.18,0,0.06,0,0,6.04,0,0
"24",11.18,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,3.98,0,0,67.39,0,2.27,0,0,0.82,0
"25",0,0,0,0,0,0,0,9.08,0,0,0,0,0,0,6.91,0,0,0,6.11,0,0,0,0.06,0,46.15,0,0,0,0,0
"26",10.53,0,11.93,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,2.27,0,80.71,0,0,4.9,0
"27",0,2.97,0,0,0,0,0,0.05,2.21,0,0,0,0,1.89,0,0,0,0,0,5.68,0,3.18,0,0,0,0,69.23,0,0,0
"28",0,20.97,0,5.01,0,1.9,0,0,1.62,0,0,0,6.52,0.08,0.07,0,0,0,0,3.01,0.15,0,6.04,0,0,0,0,59.11,0,0
"29",4.02,0,3.48,0,0,0,3.06,0,0,0,0,0.12,0,0,0,3.38,0,0,0,0,0,0,0,0.82,0,4.9,0,0,59.61,0
"30",0,0.1,0,2.15,0,0,0,0,0,0,32.86,0.43,3.06,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,69.91
