"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1",73.35,0.09,35.58,3.87,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0.99,0,0,0,10.53,0,0
"2",0.09,42.98,0,5.56,0.03,0.67,0.96,0,5.29,0.04,0.2,0.01,7.01,0.24,0.01,0.25,0,18.75,0.22,0.21,1.47,0,0,2.97,20.97
"3",35.58,0,58.31,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0.33,0,0,0,11.93,0,0
"4",3.87,5.56,0,63.66,0,0.54,0,0,0,0,1.78,0,2.98,0,0,0,0,0.16,2.2,0,0,0,0,0,5.01
"5",0,0.03,0,0,38.97,1.04,0,0.47,0,0,0,0,0,0.17,0,0,0,0,0,0.6,1.59,5.19,0,0,0.05
"6",0,0.67,0,0.54,1.04,61.46,0,0,0,0,0,0,0.05,0,0,0,0.62,0,0.61,0,18.46,0,0,0,1.9
"7",0,0.96,0,0,0,0,54.98,0,0,0,0,4.07,0,0,13.01,0,0.76,0.44,0,0,0,0,0,0,0
"8",0,0,0,0,0.47,0,0,53.67,0,0.78,0,0,0,0,0,0,0.67,0,0,0,0,8.48,0,0.04,0
"9",0,5.29,0,0,0,0,0,0,50.6,0,0,0,0.63,10.17,0,0,0,15.58,0,8.95,0.03,0,0,2.21,1.62
"10",0,0.04,0,0,0,0,0,0.78,0,58.63,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0
"11",0,0.2,0,1.78,0,0,0,0,0,0,52.3,0.12,5.9,0,0,19.12,0,0.2,0,0,0,0,0,0,0
"12",0,0.01,0,0,0,0,4.07,0,0,0,0.12,58.62,0,0,0,0.13,0.03,0.13,0,0,0,0,0.67,0,0
"13",0,7.01,0,2.98,0,0.05,0,0,0.63,0,5.9,0,57.74,0,0,1.78,0,1.28,0,0,0,0,0,0,6.52
"14",0,0.24,0,0,0.17,0,0,0,10.17,0,0,0,0,49.9,0,0,0,0.37,0,29.96,0.06,0,0,1.89,0.08
"15",0,0.01,0,0,0,0,13.01,0,0,0,0,0,0,0,82.05,0,1.56,0.04,0,0,0,0,0,0,0
"16",0,0.25,0,0,0,0,0,0,0,0,19.12,0.13,1.78,0,0,70.11,0,1.02,0,0,0,0,0,0,0
"17",3.8,0,4.22,0,0,0.62,0.76,0.67,0,0.66,0,0.03,0,0,1.56,0,14.98,0,2.3,0,0.07,0,1.79,0,0
"18",0,18.75,0,0.16,0,0,0.44,0,15.58,0,0.2,0.13,1.28,0.37,0.04,1.02,0,40.83,0,0.31,0,0,0,5.68,3.01
"19",0.99,0.22,0.33,2.2,0,0.61,0,0,0,0,0,0,0,0,0,0,2.3,0,61.66,0,0,0,0,0,0.15
"20",0,0.21,0,0,0.6,0,0,0,8.95,0,0,0,0,29.96,0,0,0,0.31,0,76.05,0,0,0,3.18,0
"21",0,1.47,0,0,1.59,18.46,0,0,0.03,0,0,0,0,0.06,0,0,0.07,0,0,0,50.18,0.06,0,0,6.04
"22",0,0,0,0,5.18,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0.06,46.15,0,0,0
"23",10.53,0,11.93,0,0,0,0,0,0,0,0,0.67,0,0,0,0,1.79,0,0,0,0,0,80.71,0,0
"24",0,2.97,0,0,0,0,0,0.04,2.21,0,0,0,0,1.89,0,0,0,5.68,0,3.18,0,0,0,69.23,0
"25",0,20.97,0,5.01,0.05,1.9,0,0,1.62,0,0,0,6.52,0.08,0,0,0,3.01,0.15,0,6.04,0,0,0,59.11
