"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
49.87,0.03,1.61,0,0,0,0,0,2.31,0,0,0,0,0,0,0.6,0,0,11.34
0.03,37.32,5.47,0.04,0.88,0.8,0,4.67,0.54,0.18,0.01,6.93,0.21,0.01,16.13,0.21,2.24,0,0
1.61,5.47,63.66,0,0.54,0,0,0,0,1.43,0,2.98,0,0,0.16,2.2,0,0,0
0,0.04,0,38.97,1.04,0,0.47,0,0,0,0,0,0.25,0,0,0,1.59,5.19,0
0,0.88,0.54,1.04,61.46,0,0,0,0.36,0,0,0.05,0,0,0,0.61,18.46,0,0
0,0.8,0,0,0,54.98,0,0,0.44,0,4.07,0,0,13.01,0.44,0,0,0,0
0,0,0,0.47,0,0,53.67,0,0.56,0,0,0,0,0,0,0,0,8.48,0
0,4.67,0,0,0,0,0,50.6,0.47,0,0,0.63,9.93,0,15.58,0,0.03,0,0
2.31,0.54,0,0,0.36,0.44,0.56,0.47,10.93,0,0.02,0,0.46,0.89,1.22,1.31,0.04,0,1.02
0,0.18,1.43,0,0,0,0,0,0,42.39,0.12,5.08,0,0,0.37,0,0,0,0
0,0.01,0,0,0,4.07,0,0,0.02,0.12,58.62,0,0,0,0.13,0,0,0,0.67
0,6.93,2.98,0,0.05,0,0,0.63,0,5.08,0,57.74,0,0,1.28,0,0,0,0
0,0.21,0,0.25,0,0,0,9.93,0.46,0,0,0,44.56,0,0.36,0,0.05,0,0
0,0.01,0,0,0,13.01,0,0,0.89,0,0,0,0,82.05,0.04,0,0,0,0
0,16.13,0.16,0,0,0.44,0,15.58,1.22,0.37,0.13,1.28,0.36,0.04,40.83,0,0,0,0
0.6,0.21,2.2,0,0.61,0,0,0,1.31,0,0,0,0,0,0,61.66,0,0,0
0,2.24,0,1.59,18.46,0,0,0.03,0.04,0,0,0,0.05,0,0,0,50.18,0.06,0
0,0,0,5.18,0,0,8.48,0,0,0,0,0,0,0,0,0,0.06,46.15,0
11.34,0,0,0,0,0,0,0,1.02,0,0.67,0,0,0,0,0,0,0,80.71
