"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1",49.87,0.03,1.61,0,0,0,0,0,1.7,0,0,0,0,0,0,0.6,11.34
"2",0.03,37.32,5.47,0.04,1.5,0.8,0,4.67,0.4,0.18,0.01,6.93,0.21,0.01,16.13,0.21,0
"3",1.61,5.47,63.66,0,0.29,0,0,0,0,1.43,0,2.98,0,0,0.16,2.2,0
"4",0,0.04,0,38.97,1.29,0,0.47,0,1.36,0,0,0,0.25,0,0,0,0
"5",0,1.5,0.29,1.29,37.68,0,0,0.02,0.16,0,0,0.02,0.02,0,0,0.33,0
"6",0,0.8,0,0,0,54.98,0,0,0.32,0,4.07,0,0,13.01,0.44,0,0
"7",0,0,0,0.47,0,0,53.67,0,2.64,0,0,0,0,0,0,0,0
"8",0,4.67,0,0,0.02,0,0,50.6,0.35,0,0,0.63,9.93,0,15.58,0,0
"9",1.7,0.4,0,1.36,0.16,0.32,2.64,0.35,9.13,0,0.01,0,0.34,0.66,0.9,0.97,0.75
"10",0,0.18,1.43,0,0,0,0,0,0,42.39,0.12,5.08,0,0,0.37,0,0
"11",0,0.01,0,0,0,4.07,0,0,0.01,0.12,58.62,0,0,0,0.13,0,0.67
"12",0,6.93,2.98,0,0.02,0,0,0.63,0,5.08,0,57.74,0,0,1.28,0,0
"13",0,0.21,0,0.25,0.02,0,0,9.93,0.34,0,0,0,44.56,0,0.36,0,0
"14",0,0.01,0,0,0,13.01,0,0,0.66,0,0,0,0,82.05,0.04,0,0
"15",0,16.13,0.16,0,0,0.44,0,15.58,0.9,0.37,0.13,1.28,0.36,0.04,40.83,0,0
"16",0.6,0.21,2.2,0,0.33,0,0,0,0.97,0,0,0,0,0,0,61.66,0
"17",11.34,0,0,0,0,0,0,0,0.75,0,0.67,0,0,0,0,0,80.71
