"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
49.87,0.03,1.61,0,0,0,0,0,1.7,0,0,0,0,0.6,11.34
0.03,37.32,5.47,0.04,1.5,0.41,0,10.74,0.4,0.18,0.01,6.93,0.21,0.21,0
1.61,5.47,63.66,0,0.29,0,0,0.09,0,1.43,0,2.98,0,2.2,0
0,0.04,0,38.97,1.29,0,0.47,0,1.36,0,0,0,0.25,0,0
0,1.5,0.29,1.29,37.68,0,0,0.01,0.16,0,0,0.02,0.02,0.33,0
0,0.41,0,0,0,40.76,0,0.13,0.49,0,2.04,0,0,0,0
0,0,0,0.47,0,0,53.67,0,2.64,0,0,0,0,0,0
0,10.74,0.09,0,0.01,0.13,0,30.41,0.64,0.19,0.07,0.97,4.86,0,0
1.7,0.4,0,1.36,0.16,0.49,2.64,0.64,9.13,0,0.01,0,0.34,0.97,0.75
0,0.18,1.43,0,0,0,0,0.19,0,42.39,0.12,5.08,0,0,0
0,0.01,0,0,0,2.04,0,0.07,0.01,0.12,58.62,0,0,0,0.67
0,6.93,2.98,0,0.02,0,0,0.97,0,5.08,0,57.74,0,0,0
0,0.21,0,0.25,0.02,0,0,4.86,0.34,0,0,0,44.56,0,0
0.6,0.21,2.2,0,0.33,0,0,0,0.97,0,0,0,0,61.66,0
11.34,0,0,0,0,0,0,0,0.75,0,0.67,0,0,0,80.71
