"","1","2","3","4","5","6","7","8","9","10","11","12"
"1",49.87,0.03,1.61,2.24,0,0,0,0,0,0,0,0
"2",0.03,37.32,5.47,0.25,1.5,0.41,0,10.74,0.18,0.01,6.93,0.21
"3",1.61,5.47,63.66,0.31,0.29,0,0,0.09,1.43,0,2.98,0
"4",2.24,0.25,0.31,7.2,0.42,0.26,1.5,0.34,0,0.08,0,0.24
"5",0,1.5,0.29,0.42,37.68,0,0,0.01,0,0,0.02,0.02
"6",0,0.41,0,0.26,0,40.76,0,0.13,0,2.04,0,0
"7",0,0,0,1.5,0,0,53.67,0,0,0,0,0
"8",0,10.74,0.09,0.34,0.01,0.13,0,30.41,0.19,0.07,0.97,4.86
"9",0,0.18,1.43,0,0,0,0,0.19,42.39,0.12,5.08,0
"10",0,0.01,0,0.08,0,2.04,0,0.07,0.12,58.62,0,0
"11",0,6.93,2.98,0,0.02,0,0,0.97,5.08,0,57.74,0
"12",0,0.21,0,0.24,0.02,0,0,4.86,0,0,0,44.56
