,poches,score
0,3ECG_pocket8_at;1HII_pocket4_at,0.0
1,1IVQ_pocket6_at;3EBZ_pocket9_at,0.0
2,1IDB_pocket2_at;3S45_pocket5_at,0.0
3,2HPE_pocket1_at;3EBZ_pocket11_at,0.0
4,1HII_pocket2_at;2HPE_pocket2_at,0.0
5,3ECG_pocket7_at;1JLD_pocket9_at,0.0
6,1IDB_pocket5_at;2MIP_pocket6_at,0.0
7,1JLD_pocket3_at;3EBZ_pocket4_at,0.0
8,2HPE_pocket7_at;1IVP_pocket1_at,0.0395
9,1JLD_pocket2_at;3UPJ_pocket6_at,0.0
10,4UPJ_pocket6_at;1HSI_pocket3_at,0.0
11,2HPF_pocket5_at;3S45_pocket2_at,0.0
12,3EC0_pocket2_at;1JLD_pocket4_at,0.0
13,3S45_pocket7_at;2HPE_pocket11_at,0.0
14,4UPJ_pocket4_at;1JLD_pocket10_at,0.0
15,1IDA_pocket5_at;3EBZ_pocket2_at,0.0
16,3ECG_pocket3_at;3ECG_pocket10_at,0.0
17,2MIP_pocket5_at;2HPF_pocket2_at,0.0
18,5UPJ_pocket0_at;3EBZ_pocket11_at,0.0156
19,3ECG_pocket8_at;3ECG_pocket1_at,0.0141
20,1JLD_pocket10_at;1IDB_pocket7_at,0.0
21,4UPJ_pocket7_at;3ECG_pocket1_at,0.2456
22,1IDB_pocket7_at;1IVP_pocket8_at,0.0577
23,4UPJ_pocket2_at;3UPJ_pocket6_at,0.0
24,1HSI_pocket7_at;3ECG_pocket6_at,0.0
25,5UPJ_pocket4_at;1IVP_pocket7_at,0.0
26,4UPJ_pocket7_at;1IDA_pocket6_at,0.0
27,2HPE_pocket4_at;3UPJ_pocket5_at,0.0
28,3EC0_pocket9_at;2HPF_pocket6_at,0.0
29,5UPJ_pocket6_at;3S45_pocket9_at,0.0
30,1HSH_pocket2_at;3EC0_pocket3_at,0.0
31,1HSH_pocket8_at;1IVQ_pocket2_at,0.0
32,2MIP_pocket6_at;5UPJ_pocket2_at,0.0
33,1IVP_pocket2_at;2HPE_pocket0_at,0.0
34,3UPJ_pocket1_at;3ECG_pocket4_at,0.0
35,1HSH_pocket8_at;1IDA_pocket7_at,0.0
36,3UPJ_pocket7_at;3UPJ_pocket6_at,0.0
37,1IDB_pocket8_at;1IDB_pocket7_at,0.08
38,5UPJ_pocket3_at;3S45_pocket1_at,0.0
39,2HPE_pocket6_at;1HSI_pocket2_at,0.0
40,1IVP_pocket6_at;3ECG_pocket6_at,0.0
41,6UPJ_pocket2_at;1HSH_pocket4_at,0.0
42,1IDB_pocket2_at;1HII_pocket8_at,0.0
43,1HII_pocket8_at;1IDB_pocket3_at,0.0
44,1HSI_pocket2_at;1IDA_pocket2_at,0.027
45,1HSH_pocket4_at;3UPJ_pocket6_at,0.0
46,1IDA_pocket5_at;1HII_pocket0_at,0.0
47,4UPJ_pocket5_at;2HPE_pocket8_at,0.0
48,2MIP_pocket5_at;1IDB_pocket3_at,0.0
49,1IDB_pocket2_at;1HSH_pocket6_at,0.4464
50,2HPE_pocket6_at;3EBZ_pocket1_at,0.0
51,1IDA_pocket0_at;3EBZ_pocket5_at,0.0
52,1IDB_pocket9_at;1JLD_pocket5_at,0.0
53,2HPE_pocket12_at;1HSI_pocket6_at,0.0
54,5UPJ_pocket2_at;1IVQ_pocket0_at,0.0
55,6UPJ_pocket7_at;3ECG_pocket6_at,0.0
56,1JLD_pocket7_at;3EBZ_pocket4_at,0.0
57,3S45_pocket3_at;3ECG_pocket6_at,0.0
58,3ECG_pocket3_at;3S45_pocket1_at,0.0
59,3UPJ_pocket2_at;1IDB_pocket3_at,0.0
60,3EC0_pocket0_at;3S45_pocket3_at,0.0
61,1IDB_pocket5_at;1IVP_pocket2_at,0.0
62,3EC0_pocket8_at;3UPJ_pocket1_at,0.0
63,2HPE_pocket4_at;3ECG_pocket8_at,0.0
64,3UPJ_pocket6_at;2HPE_pocket3_at,0.0
65,1HSI_pocket5_at;4UPJ_pocket3_at,0.0
66,1IVQ_pocket7_at;1JLD_pocket2_at,0.0
67,2HPF_pocket7_at;1IVQ_pocket6_at,0.0
68,3UPJ_pocket7_at;1HII_pocket2_at,0.0
